Date of Complaint,Date of Closure,Street,City,State,ZIP,Cable Provider,Billing,Service,Internet,Telephone Answering Time,Reception,Construction,Marketing,Installation,Cable Service Availability,Cable Line Related,Telephone Service,Other,Type,Location
4/6/1998,12/31/2000,TREBLECLEF LANE,SILVER SPRING,MD,20910,Cable/TV Montgomery,1,,,,,,,,,,,,Complaint,"TREBLECLEF LANE
SILVER SPRING, MD 20910"
4/8/1998,12/31/2000,TAVSHIRE WAY,BETHESDA,MD,20817,Cable/TV Montgomery,1,,,,,,,,,,,,Complaint,"TAVSHIRE WAY
BETHESDA, MD 20817"
4/21/1998,12/31/2000,QUEEN ELIZABETH DRIVE,BROOKEVILLE,MD,20833,Cable/TV Montgomery,,,,,1,,,,,,,,Complaint,"QUEEN ELIZABETH DRIVE
BROOKEVILLE, MD 20833"
4/22/1998,12/31/2000,MCARTHUR BLVD # 203,WASH DC,MD,,Cable/TV Montgomery,1,,,,,,,,,,,,Complaint,"MCARTHUR BLVD # 203
WASH DC, MD"
4/22/1998,12/31/2000,"BRASSY PLACE, #104",GAITHERSBURG,MD,20879,Cable/TV Montgomery,1,,,,,,1,,,,,,Complaint,"BRASSY PLACE, #104
GAITHERSBURG, MD 20879"
5/1/1998,12/31/2000,BERGENFELD DR,GAITHERSBURG,MD,20878,Cable/TV Montgomery,,1,,,,,,,,,,,Complaint,"BERGENFELD DR
GAITHERSBURG, MD 20878"
5/1/1998,12/31/2000,MCFARLIN DR,GERMANTOWN,MD,20874,Cable/TV Montgomery,1,,,,,,,,,,,,Complaint,"MCFARLIN DR
GERMANTOWN, MD 20874"
5/6/1998,12/31/2000,LAMP POST LA,POTOMAC,MD,20854,Cable/TV Montgomery,,,,,,,1,,,,,,Complaint,"LAMP POST LA
POTOMAC, MD 20854"
5/6/1998,12/31/2000,BARBARA RD,SILVER SPRING,MD,20906,Cable/TV Montgomery,,,,1,,,,,,,,,Complaint,"BARBARA RD
SILVER SPRING, MD 20906"
5/6/1998,12/31/2000,MARSTON LANE,GAITHERSBURG,MD,20880,Cable/TV Montgomery,,,,,,1,,1,,,,,Complaint,"MARSTON LANE
GAITHERSBURG, MD 20880"
5/6/1998,12/31/2000,TAOS CT.,SILVER SPRING,MD,20906,Cable/TV Montgomery,,,,,,,,,,,,1,Complaint,"TAOS CT.
SILVER SPRING, MD 20906"
5/7/1998,12/31/2000,"ROSS RD, #201",SILVER SPRING,MD,20910,Cable/TV Montgomery,,,,,,,,,,,,1,Complaint,"ROSS RD, #201
SILVER SPRING, MD 20910"
5/11/1998,12/31/2000,ROSS RD,SILVER SPRING,MD,20910,Cable/TV Montgomery,,,,,,,1,,,,,,Complaint,"ROSS RD
SILVER SPRING, MD 20910"
5/11/1998,12/31/2000,SCORPIO CT.,"BURKE, VA",MD,22015,Cable/TV Montgomery,1,,,,,,,,,,,,Complaint,"SCORPIO CT.
BURKE, VA, MD 22015"
5/18/1998,12/31/2000,KENSINGTON PKWY #406,KENSINGTON,MD,20895,Cable/TV Montgomery,,1,,1,1,,,,,,,,Complaint,"KENSINGTON PKWY #406
KENSINGTON, MD 20895"
5/20/1998,12/31/2000,PARKRIDGE DR,GAITHERSBURG,MD,20878,Cable/TV Montgomery,,,,,1,,,,,,,,Complaint,"PARKRIDGE DR
GAITHERSBURG, MD 20878"
5/22/1998,12/31/2000,"GABLE RIDGE TER, APT K",ROCKVILLE,MD,20850,Cable/TV Montgomery,1,,,,,,,,,,,,Complaint,"GABLE RIDGE TER, APT K
ROCKVILLE, MD 20850"
5/26/1998,12/31/2000,BAY HILL LANE,SILVER SPRING,MD,20905,Cable/TV Montgomery,,,,,,1,,,,,,,Complaint,"BAY HILL LANE
SILVER SPRING, MD 20905"
5/28/1998,12/31/2000,LYTTONSVILLE ROAD,SILVER SPRING,MD,20910,Cable/TV Montgomery,,,,,1,,,,,,,,Complaint,"LYTTONSVILLE ROAD
SILVER SPRING, MD 20910"
5/29/1998,12/31/2000,QUAILS NEST WAY,MONTGOMERY VILLAGE,MD,20886,Cable/TV Montgomery,,,,,1,,,,,,,,Complaint,"QUAILS NEST WAY
MONTGOMERY VILLAGE, MD 20886"
6/4/1998,12/31/2000,RICHWOOD CT.,BROOKEVILLE,MD,20833,Cable/TV Montgomery,,,,,1,,,,,,,,Complaint,"RICHWOOD CT.
BROOKEVILLE, MD 20833"
6/5/1998,12/31/2000,CLAYBROOK DRIVE,SILVER SPRING,MD,20902,Cable/TV Montgomery,,,,1,1,,,,,,,1,Complaint,"CLAYBROOK DRIVE
SILVER SPRING, MD 20902"
6/8/1998,12/31/2000,CLOISTER DRIVE,N. BETHESDA,MD,20852,Cable/TV Montgomery,,,,1,,,,,,,,,Complaint,"CLOISTER DRIVE
N. BETHESDA, MD 20852"
6/8/1998,12/31/2000,CREIGER BROOK WAY,POTOMAC,MD,20854,Cable/TV Montgomery,,,,,,,,,,,,1,Complaint,"CREIGER BROOK WAY
POTOMAC, MD 20854"
6/10/1998,12/31/2000,MORAN DRIVE,N. POTOMAC,MD,20878,Cable/TV Montgomery,1,1,,1,,,,,,,,,Complaint,"MORAN DRIVE
N. POTOMAC, MD 20878"
6/10/1998,12/31/2000,HOLLOW GLEN PLACE,SILVER SPRING,MD,20910,Cable/TV Montgomery,,,,,,,,,,,,1,Complaint,"HOLLOW GLEN PLACE
SILVER SPRING, MD 20910"
6/11/1998,12/31/2000,UNIVERSITY BLVD WEST,WHEATON,MD,20902,Cable/TV Montgomery,,,,,,,,1,,,,,Complaint,"UNIVERSITY BLVD WEST
WHEATON, MD 20902"
6/15/1998,12/31/2000,HEARDING DR,SILVER SPRING,MD,20901,Cable/TV Montgomery,,,,,,,,1,,,,,Complaint,"HEARDING DR
SILVER SPRING, MD 20901"
6/15/1998,12/31/2000,BRADLEY BLVD,BETHESDA,MD,20817,Cable/TV Montgomery,,,1,,,,,,,,,,Complaint,"BRADLEY BLVD
BETHESDA, MD 20817"
6/15/1998,12/31/2000,GEORGIA AVE. APT. 202,SILVER SPRING,MD,20906,Cable/TV Montgomery,,,,,,,,,,,,1,Complaint,"GEORGIA AVE. APT. 202
SILVER SPRING, MD 20906"
6/19/1998,12/31/2000,"S. MEADOW FENCE RD.,",GAITHERSBURG,MD,20879,Cable/TV Montgomery,,,,,,,,,,,,1,Complaint,"S. MEADOW FENCE RD.,
GAITHERSBURG, MD 20879"
6/23/1998,12/31/2000,GATEPOST LANE 2B,FREDERICK,MD,21701,Cable/TV Montgomery,1,,,1,,,,,,,,,Complaint,"GATEPOST LANE 2B
FREDERICK, MD 21701"
6/24/1998,12/31/2000,TODSSBURY LANE,OLNEY,MD,20832,Cable/TV Montgomery,,,,,,,,,,,,1,Complaint,"TODSSBURY LANE
OLNEY, MD 20832"
6/24/1998,12/31/2000,JULLIARD DR,BETHESDA,MD,20817,Cable/TV Montgomery,1,,,,,,,,,,,,Complaint,"JULLIARD DR
BETHESDA, MD 20817"
6/29/1998,12/31/2000,FLINT ROCKS RD,ROCKVILLE,MD,20853,Cable/TV Montgomery,,,,1,,,,,,,,1,Complaint,"FLINT ROCKS RD
ROCKVILLE, MD 20853"
6/29/1998,12/31/2000,EDGEFIELD RD,BETHESDA,MD,20814,Cable/TV Montgomery,,,1,,,,,,,,,1,Complaint,"EDGEFIELD RD
BETHESDA, MD 20814"
6/29/1998,12/31/2000,BEETHOVAN BLVD,SILVER SPRING,MD,20904,Cable/TV Montgomery,,,,,,1,,,,,,,Complaint,"BEETHOVAN BLVD
SILVER SPRING, MD 20904"
6/29/1998,12/31/2000,VENDOME DRIVE,CABIN JOHN,MD,,Cable/TV Montgomery,,,,,,1,,,,,,,Complaint,"VENDOME DRIVE
CABIN JOHN, MD"
6/29/1998,12/31/2000,GRIFFTH RD,LAYTONSVILLE,MD,20882,Cable/TV Montgomery,,,,,,,,,1,,,,Complaint,"GRIFFTH RD
LAYTONSVILLE, MD 20882"
6/30/1998,12/31/2000,ARROWOOD RD,BETHESDA,MD,20817,Cable/TV Montgomery,,,,,1,,,1,,,,,Complaint,"ARROWOOD RD
BETHESDA, MD 20817"
6/30/1998,12/31/2000,STRAFFORD RD,CHEVY CHASE,MD,20815,Cable/TV Montgomery,,,,,1,,,1,,,,,Complaint,"STRAFFORD RD
CHEVY CHASE, MD 20815"
7/7/1998,12/31/2000,LONGWOOD DRIVE,BETHESDA,MD,20817,Cable/TV Montgomery,,,,,,,,,1,,,,Complaint,"LONGWOOD DRIVE
BETHESDA, MD 20817"
7/7/1998,12/31/2000,LEISTER DRIVE,SILVER SPRING,MD,20904,Cable/TV Montgomery,1,1,,1,,,,,,,,1,Complaint,"LEISTER DRIVE
SILVER SPRING, MD 20904"
7/7/1998,12/31/2000,BELOW,,MD,,Cable/TV Montgomery,1,,,,,,,,,,,,Complaint,"BELOW, MD"
7/8/1998,12/31/2000,VENDOME DR,BETHESDA,MD,20817,Cable/TV Montgomery,,,,,,1,,,,,,,Complaint,"VENDOME DR
BETHESDA, MD 20817"
7/8/1998,12/31/2000,INTERLOCHEN DRIVE #507,SILVER SPRING,MD,,Cable/TV Montgomery,,,,,,,,1,,,,,Complaint,"INTERLOCHEN DRIVE #507
SILVER SPRING, MD"
7/10/1998,12/31/2000,NICHOLSON LANE #808,NORTH BETHESDA,MD,20852,Cable/TV Montgomery,,,1,1,,,,,,,,,Complaint,"NICHOLSON LANE #808
NORTH BETHESDA, MD 20852"
7/15/1998,12/31/2000,MCDONALD DR.,BETHESDA,MD,20817,Cable/TV Montgomery,1,,,,,,,,,,,,Complaint,"MCDONALD DR.
BETHESDA, MD 20817"
7/15/1998,12/31/2000,CLOISTER DRIVE,NORTH BETHESDA,MD,20852,Cable/TV Montgomery,1,,,,,,,,,,,,Complaint,"CLOISTER DRIVE
NORTH BETHESDA, MD 20852"
7/16/1998,12/31/2000,BELVERDER BLVD #3,SILVER SPRING,MD,20902,Cable/TV Montgomery,,,,,,,,,,,,1,Complaint,"BELVERDER BLVD #3
SILVER SPRING, MD 20902"
7/16/1998,12/31/2000,PLANTATION LANCE,ROCKVILLE,MD,20852,Cable/TV Montgomery,1,,,1,,,,,,,,,Complaint,"PLANTATION LANCE
ROCKVILLE, MD 20852"
7/16/1998,12/31/2000,MORNING WOOD DRIVE,OLNEY,MD,20832,Cable/TV Montgomery,,,,,,,,1,,,,,Complaint,"MORNING WOOD DRIVE
OLNEY, MD 20832"
7/21/1998,12/31/2000,SUNDOWN FARMS WAY,OLNEY,MD,20832,Cable/TV Montgomery,,,,,1,,,,,,,,Complaint,"SUNDOWN FARMS WAY
OLNEY, MD 20832"
7/23/1998,12/31/2000,MCCOMAS CT,KENSINGTON,MD,20895,Cable/TV Montgomery,1,,,,,,,,,,,,Complaint,"MCCOMAS CT
KENSINGTON, MD 20895"
7/25/1998,12/31/2000,FALLSMEAD WAY,ROCKVILLE,MD,20854,Cable/TV Montgomery,,,1,,,,,,,,,,Complaint,"FALLSMEAD WAY
ROCKVILLE, MD 20854"
7/27/1998,12/31/2000,MASS AVE,BETHESDA,MD,20816,Cable/TV Montgomery,,,,,,,,,,,,,Complaint,"MASS AVE
BETHESDA, MD 20816"
7/29/1998,12/31/2000,HICKORY BEND TRAIL,POTOMAC,MD,20854,Cable/TV Montgomery,,,,1,,1,,,,,,,Complaint,"HICKORY BEND TRAIL
POTOMAC, MD 20854"
8/5/1998,12/31/2000,TANLEY RD,SILVER SPRING,MD,20904,Cable/TV Montgomery,,,,,,,,,,,,1,Complaint,"TANLEY RD
SILVER SPRING, MD 20904"
8/5/1998,12/31/2000,TIMBER ROCK RD,GAITHERSBURG,MD,20878,Cable/TV Montgomery,1,,,,,,,,,,,,Complaint,"TIMBER ROCK RD
GAITHERSBURG, MD 20878"
8/6/1998,12/31/2000,E. DIAMOND AVE. #1,GAITHERSBURG,MD,20877,Cable/TV Montgomery,1,,,,,,,,,,,,Complaint,"E. DIAMOND AVE. #1
GAITHERSBURG, MD 20877"
8/6/1998,12/31/2000,MARGATE RD.,SILVER SPRING,MD,20901,Cable/TV Montgomery,1,,,,,,,,,,,,Complaint,"MARGATE RD.
SILVER SPRING, MD 20901"
8/7/1998,12/31/2000,BANQUO DRIVE,SILVER SPRING,MD,20906,Cable/TV Montgomery,,,1,,,,,,,,,,Complaint,"BANQUO DRIVE
SILVER SPRING, MD 20906"
8/7/1998,12/31/2000,STANMORE DR,POTOMAC,MD,,Cable/TV Montgomery,,,,,,1,,,,,,,Complaint,"STANMORE DR
POTOMAC, MD"
8/10/1998,12/31/2000,EAST WEST HWY #1725,SILVER SPRING,MD,20910,Cable/TV Montgomery,,,,,,,,,,,,,Complaint,"EAST WEST HWY #1725
SILVER SPRING, MD 20910"
8/10/1998,12/31/2000,CONGRESSIONAL LANE #717,ROCKVILLE,MD,20852,Cable/TV Montgomery,,,,,,,,,,,,1,Complaint,"CONGRESSIONAL LANE #717
ROCKVILLE, MD 20852"
8/10/1998,12/31/2000,SECOND AVE. #141,SILVER SPRING,MD,20910,Cable/TV Montgomery,,,,,,,,,,,,1,Complaint,"SECOND AVE. #141
SILVER SPRING, MD 20910"
8/11/1998,12/31/2000,CAVALIER DRIVE,SILVER SPRING,MD,20901,Cable/TV Montgomery,,,,,,,,,,,,1,Complaint,"CAVALIER DRIVE
SILVER SPRING, MD 20901"
8/11/1998,12/31/2000,STATUS??,,MD,,Cable/TV Montgomery,,,,,,,,,,,,,Complaint,"STATUS??, MD"
8/11/1998,12/31/2000,HARNESS TRAIL,POTOMAC,MD,20854,Cable/TV Montgomery,,,,,,,1,,,,,,Complaint,"HARNESS TRAIL
POTOMAC, MD 20854"
8/13/1998,12/31/2000,FALLS BRIDGE RD,POTOMAC,MD,20854,Cable/TV Montgomery,,,1,1,,,,,,,,,Complaint,"FALLS BRIDGE RD
POTOMAC, MD 20854"
8/13/1998,12/31/2000,BONAVENTURE CT,BETHESDA,MD,20817,Cable/TV Montgomery,,,1,1,,,,,,,,,Complaint,"BONAVENTURE CT
BETHESDA, MD 20817"
8/17/1998,12/31/2000,WHEATCROFT CT,BETHESDA,MD,20817,Cable/TV Montgomery,1,,,1,,,,,,,,,Complaint,"WHEATCROFT CT
BETHESDA, MD 20817"
8/17/1998,12/31/2000,AUTUMN TRAIL DR,GERMANTOWN,MD,20874,Cable/TV Montgomery,,,,,,,,,1,,,,Complaint,"AUTUMN TRAIL DR
GERMANTOWN, MD 20874"
8/17/1998,12/31/2000,PRINCE GEORGE'S AVE,TAKOMA PARK,MD,20912,Cable/TV Montgomery,,,,,,,,,1,,,,Complaint,"PRINCE GEORGE'S AVE
TAKOMA PARK, MD 20912"
8/19/1998,12/31/2000,APPLEWOOD LANE,ROCKVILLE,MD,20855,Cable/TV Montgomery,,,,,,,,1,,,,,Complaint,"APPLEWOOD LANE
ROCKVILLE, MD 20855"
8/19/1998,12/31/2000,SANDERLING PLACE,GERMANTOWN,MD,20874,Cable/TV Montgomery,,,,,,1,,,,,,,Complaint,"SANDERLING PLACE
GERMANTOWN, MD 20874"
8/20/1998,12/31/2000,FALMOUTH CT,BETHESDA,MD,20816,Cable/TV Montgomery,,,,,,,,,,,,1,Complaint,"FALMOUTH CT
BETHESDA, MD 20816"
8/21/1998,12/31/2000,FLORAL CT,WHEATON,MD,20902,Cable/TV Montgomery,,,,1,,,,,,,,,Complaint,"FLORAL CT
WHEATON, MD 20902"
8/21/1998,12/31/2000,FORREST AVE,ROCKVILLE,MD,20850,Cable/TV Montgomery,,,,,,,1,,,,,,Complaint,"FORREST AVE
ROCKVILLE, MD 20850"
8/21/1998,12/31/2000,OAK SHADE RD,GAITHERSBURG,MD,20878,Cable/TV Montgomery,,,,,,,,,,,,1,Complaint,"OAK SHADE RD
GAITHERSBURG, MD 20878"
8/24/1998,12/31/2000,FOX VALLEY DRIVE,ROCKVILLE,MD,20853,Cable/TV Montgomery,1,,,,,,,1,,,,,Complaint,"FOX VALLEY DRIVE
ROCKVILLE, MD 20853"
8/24/1998,12/31/2000,POTOMAC CREST DRIVE,POTOMAC,MD,20854,Cable/TV Montgomery,,,,1,,1,,,,,,,Complaint,"POTOMAC CREST DRIVE
POTOMAC, MD 20854"
8/25/1998,12/31/2000,LEWIS AVE.,ROCKVILLE,MD,20851,Cable/TV Montgomery,,,1,,,,,,,,,1,Complaint,"LEWIS AVE.
ROCKVILLE, MD 20851"
8/25/1998,12/31/2000,BRADLEY BLVD,CHEVY CHASE,MD,20815,Cable/TV Montgomery,,,1,1,,,,,,,,,Complaint,"BRADLEY BLVD
CHEVY CHASE, MD 20815"
8/25/1998,12/31/2000,WESTPATH WAY,BETHESDA,MD,20816,Cable/TV Montgomery,,,,,,,,,,,,1,Complaint,"WESTPATH WAY
BETHESDA, MD 20816"
8/25/1998,12/31/2000,WEST FRANKFORT DRIVE,ROCKVILLE,MD,20853,Cable/TV Montgomery,,,,,,,,,,,,1,Complaint,"WEST FRANKFORT DRIVE
ROCKVILLE, MD 20853"
